Object_A,Object_B,Dist_sampled_km,Dist_refined_km,TCA_sampled_h,TCA_refined_h,Pc,Risk
LARETS,SAUDICOMSAT 3,17.91,17.91,9.75,9.75,2.869e-05,YELLOW
O3B PFM,O3B FM19,2.481,2.48,16.25,16.253,2.673e-05,YELLOW
O3B FM4,O3B FM10,3.605,3.604,1.75,1.757,1.221e-05,YELLOW
ANIK F3,ECHOSTAR 15,5.174,5.101,4.75,4.756,1.025e-05,YELLOW
GEO-KOMPSAT-2A,GEO-KOMPSAT-2B,11.159,11.152,1.083,1.123,2.984e-06,GREEN
COMSATBW-1,EXPRESS-AT1,13.247,13.087,16.0,15.958,2.230e-06,GREEN
SES-8,SES-12,14.04,14.04,24.0,24.0,1.562e-06,GREEN
ORBCOMM FM109,CENTISPACE-1 S1,12.445,12.445,24.0,24.0,2.928e-07,GREEN
BADR-5,ARABSAT-5A,17.441,17.44,0.333,0.325,2.832e-07,GREEN
NANOSAT-1,UNISAT-6,21.223,21.223,22.083,22.083,1.859e-07,GREEN
MMS 2,MMS 3,22.768,22.768,24.0,24.0,8.075e-08,GREEN
OPTUS D3,MEV-1,20.382,20.382,6.917,6.924,3.400e-08,GREEN
HISPASAT 30W-5,HISPASAT 30W-6,22.028,22.025,14.833,14.864,2.296e-08,GREEN
GSAT-18,GSAT-11,12.041,12.03,4.0,3.969,1.927e-08,GREEN
STAR ONE C4,VIASAT-2,23.529,23.529,19.417,19.433,1.586e-08,GREEN
GSAT-10,GSAT-30,18.996,18.992,3.083,3.112,1.106e-08,GREEN
MMS 2,MMS 4,11.283,11.283,24.0,24.0,5.027e-09,GREEN
THAICOM 6,THAICOM 8,18.472,18.469,7.917,7.899,1.965e-09,GREEN
SKYSAT-A,S-NET C,7.555,7.555,21.25,21.25,4.916e-10,GREEN
MMS 1,MMS 3,21.615,21.615,24.0,24.0,2.013e-10,GREEN
ARABSAT-5A,ARABSAT-6A,19.137,19.136,3.917,3.889,1.614e-10,GREEN
TELSTAR 14R,TELSTAR 19V,15.97,15.966,10.917,10.877,1.462e-10,GREEN
MMS 3,MMS 4,18.869,18.869,2.5,2.533,8.513e-11,GREEN
MMS 1,MMS 4,14.754,14.754,20.833,20.815,3.126e-11,GREEN
EUTELSAT 7B,EUTELSAT 7C,19.156,19.149,2.667,2.648,1.166e-11,GREEN
ONEWEB-0045,ONEWEB-0054,10.807,10.807,19.0,19.0,6.404e-12,GREEN
AMAZONAS 3,AMAZONAS 5,12.401,12.399,19.167,19.141,7.390e-13,GREEN
MMS 1,MMS 2,16.894,16.894,24.0,24.0,2.009e-13,GREEN
ASTRA 2F,ASTRA 2G,23.577,23.573,4.25,4.277,8.533e-14,GREEN
INTELSAT 20 (IS-20),INTELSAT 36 (IS-36),14.064,14.064,17.167,17.16,4.665e-14,GREEN
GSAT-7,GSAT-14,16.009,16.008,3.667,3.653,3.769e-14,GREEN
EUTELSAT KA-SAT 9A,EUTELSAT 9B,22.734,22.733,9.917,9.927,3.552e-14,GREEN
STARS-AO,CARTOSAT-3,12.702,12.702,0.667,0.667,2.221e-14,GREEN
STARS-AO,HAWK-C,16.883,16.883,12.583,12.583,8.963e-15,GREEN
QB50P2,NORSAT 1,14.684,14.684,13.75,13.75,5.840e-16,GREEN
SIRION PATHFINDER-2,RANGE-A,21.876,21.876,3.333,3.333,1.955e-19,GREEN
COSMOS 2390,GONETS-M 5,6.955,6.955,4.167,4.167,2.359e-20,GREEN
ANIK F1R,ANIK G1,24.977,24.977,3.5,3.5,9.654e-21,GREEN
UKUBE-1,STARLINK-1184,18.233,18.233,20.333,20.333,4.442e-23,GREEN
BSAT-3B,BSAT-4A,20.671,20.67,21.25,21.258,2.259e-24,GREEN
JCSAT-5A,JCSAT-12 (JCSAT-RA),23.048,23.048,12.083,12.083,7.637e-26,GREEN
BADR-5,ARABSAT-6A,20.818,20.818,23.333,23.332,2.763e-26,GREEN
CARTOSAT-2C,GAOFEN-7,11.026,11.026,1.667,1.667,1.280e-26,GREEN
HELLAS-SAT 3,HELLAS-SAT 4 & SGS-1,24.922,24.922,11.5,11.5,6.585e-34,GREEN
CINEMA,STARLINK-1020,24.77,24.77,8.5,8.5,1.035e-36,GREEN
SHIJIAN-6 04B (SJ-6 04B),YAOGAN-30 04B,16.164,16.164,14.917,14.917,1.974e-37,GREEN
OPS 5712 (P/L 160),PRSS-1,20.916,20.916,5.5,5.5,2.742e-44,GREEN
CELTEE 1,CARTOSAT-2D,13.285,13.285,10.083,10.083,1.181e-50,GREEN
KANOPUS-V-IK,NORSAT 2,20.919,20.919,15.583,15.583,6.703e-51,GREEN
USA 119,FALCONSAT-6,18.589,18.589,14.0,14.0,3.269e-54,GREEN
DEIMOS-1,GAOFEN-12 01,24.569,24.569,6.0,6.0,4.264e-56,GREEN
SPOT 6,TRITON-1,24.352,24.352,12.667,12.667,6.301e-76,GREEN
YAOGAN-12,SUOMI-100,24.208,24.208,12.25,12.25,4.930e-77,GREEN
SINOD-D 1,JILIN-1 10,20.339,20.339,22.167,22.167,9.230e-79,GREEN
STARLINK-1272,STARLINK-1283,21.709,21.709,15.167,15.167,8.732e-80,GREEN
IRIDIUM 100,IRIDIUM 169,14.57,14.56,22.333,22.34,6.138e-89,GREEN
SJ-11-07,ORBCOMM FM108,24.335,24.335,19.333,19.333,5.148e-99,GREEN
YAOGAN-2,CANX-5,21.3,21.3,16.667,16.667,1.448e-102,GREEN
LEMUR-2-ANDIS,LEMUR-2-DEMBITZ,17.68,17.68,8.0,8.0,1.876e-104,GREEN
GCOM-C (SHIKISAI),HAIYANG-1C,18.1,18.1,16.667,16.667,2.180e-105,GREEN
LATINSAT A,DEIMOS-1,21.044,21.044,4.0,4.0,5.109e-108,GREEN
COSMOS 2504,SSTL S1-4,20.605,20.605,15.417,15.417,2.554e-117,GREEN
NANOSATC-BR1,ICEYE-X4,18.419,18.419,8.167,8.167,2.706e-125,GREEN
